,bmi,casp,sphus,adl,iadl,mobility,ph006d1,ph006d2,ph006d5,br001_,br010_,br015_,br016_,mh002_,mh003_,cf001_,cf002_,isced1997_r,age_int,gender,GLOBAL_DATASET
count,54909.0,54436.0,57700.0,57684.0,57684.0,57688.0,57686.0,57686.0,57686.0,36811.0,57275.0,57269.0,57280.0,56868.0,56713.0,36568.0,36565.0,57002.0,57994.0,82956.0,82956.0
mean,26.882755279541016,37.05961128664854,3.252668977469671,0.26248179737882255,0.408466819221968,1.718763000970739,0.13847380646950733,0.39389106542315294,0.12448427694761294,3.1906495341066528,4.642461807071148,2.6567951247620876,1.6681564245810057,3.3369205880284167,1.2074480277890431,2.399529643404069,2.5294133734445507,3.2961650468404615,65.4504431492913,1.534222961569989,
std,4.726966857910156,6.439198586058202,1.081917784428545,0.8878162683208847,1.1404931975036974,2.3856052841513664,0.3453995939479044,0.4886154241350735,0.33013607967637504,1.990919494565188,2.2111704908271745,1.3330159088719982,1.0767628518471128,1.9714342141622268,0.4054827279282688,1.125884026674208,1.156187199979986,7.090217959296109,10.376963747055898,0.4988304205487713,
min,12.488521575927734,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,24.0,1.0,
25%,23.738662719726562,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,57.0,1.0,
50%,26.277284622192383,38.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,5.0,1.0,2.0,3.0,3.0,64.0,2.0,
75%,29.387754440307617,42.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,7.0,4.0,2.0,5.0,1.0,3.0,3.0,3.0,73.0,2.0,
max,88.37639617919922,48.0,5.0,6.0,7.0,10.0,1.0,1.0,1.0,5.0,7.0,4.0,4.0,5.0,2.0,5.0,5.0,97.0,103.0,2.0,
null_%,33.80948936785766,34.379671150971596,30.44505520999084,30.46434254303486,30.46434254303486,30.45952070977386,30.461931626404358,30.461931626404358,30.461931626404358,55.62587395727856,30.957374993972707,30.96460774386422,30.951347702396454,31.447996528280054,31.634842567144027,55.91880032788467,55.92241670283041,31.286465114036353,30.09065046530691,0.0,
after_dropna_count,,,,,,,,,,,,,,,,,,,,,33288.0
