,bmi,casp,sphus,adl,iadl,mobility,ph006d1,ph006d2,ph006d5,br001_,br010_,br015_,br016_,mh002_,mh003_,cf001_,cf002_,isced1997_r,isced2011_r,age_int,gender,GLOBAL_DATASET
count,64199.0,61705.0,65881.0,65881.0,65881.0,65882.0,65837.0,65837.0,65837.0,23141.0,65874.0,65879.0,65882.0,64799.0,64580.0,22836.0,22841.0,65153.0,23168.0,66062.0,93640.0,93640.0
mean,26.817224502563477,37.94804310833806,3.1421805983515734,0.26843854829161673,0.4238854905056086,1.615600619289032,0.11513282804502027,0.3918161520117867,0.1275422634688701,3.1518516918024284,4.637869265567598,2.594574902472715,1.6262863908199507,3.4235559190728253,1.6458346237225148,2.2711070239971973,2.4153933715686704,3.2439028133777414,3.2745165745856353,66.30852835215404,1.5310551046561298,
std,4.727298736572266,6.250532748207523,1.0883636493101285,0.9268450008704128,1.2168155820744988,2.3962071067430997,0.3191845976725346,0.4881596814340556,0.3335819609726681,1.9942700238550808,2.175969642807443,1.342252185035716,1.056987907511865,1.954650696446974,1.4718252877508011,1.1135366779732667,1.1613814259640436,6.181959129786629,4.064497462219973,10.33442669111744,0.49903731323740064,
min,12.486992835998535,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,22.0,1.0,
25%,23.733238220214844,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,58.0,1.0,
50%,26.175193786621094,39.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,5.0,1.0,2.0,2.0,3.0,3.0,65.0,2.0,
75%,29.319856643676758,43.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,7.0,4.0,2.0,5.0,1.0,3.0,3.0,4.0,5.0,74.0,2.0,
max,99.08838653564453,48.0,5.0,6.0,7.0,10.0,1.0,1.0,1.0,5.0,7.0,4.0,4.0,5.0,5.0,5.0,5.0,97.0,97.0,103.0,2.0,
null_%,31.440623665100386,34.10401537804357,29.64438274241777,29.64438274241777,29.64438274241777,29.64331482272533,29.69137120888509,29.69137120888509,29.69137120888509,75.28727039726613,29.651858180264846,29.64651858180265,29.64331482272533,30.799871849636908,31.033746262281074,75.61298590346006,75.60764630499787,30.42182827851346,75.25843656557026,29.45108927808629,0.0,
after_dropna_count,,,,,,,,,,,,,,,,,,,,,,21242.0
