,bmi,casp,sphus,adl,iadl,mobility,ph006d1,ph006d2,ph006d5,br001_,br015_,br016_,mh002_,mh003_,cf001_,cf002_,isced1997_r,isced2011_r,age_int,gender,GLOBAL_DATASET
count,74137.0,70595.0,76822.0,76159.0,76159.0,76531.0,76670.0,76670.0,76670.0,457.0,13937.0,13940.0,13632.0,13609.0,13683.0,13685.0,77031.0,40787.0,77195.0,111573.0,111573.0
mean,27.16972541809082,36.8386004674552,3.2787352581291818,0.2838666474087107,0.5960424900537035,1.787079745462623,0.12442937263597235,0.44124168514412415,0.13854180253032478,3.4595185995623634,2.784243380928464,1.704519368723099,3.482394366197183,1.1764273642442502,2.35394284879047,2.5036170990135185,3.1280783061364903,3.2430186088704733,68.0073579895071,1.5394315829098437,
std,4.696751594543457,6.469341652489733,1.0540911656455458,0.9629149040250601,1.6516349130662242,2.475019489744547,0.33007290840374387,0.4965386955453401,0.34547001048899745,1.9486281128351217,1.2914266181213097,1.1072715613718005,1.9410234549121401,0.3811973596285376,1.1302686817899585,1.172715207676696,4.986585119028252,3.002496548406207,10.021269075405282,0.4984449588860697,
min,12.456747055053711,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,22.0,1.0,
25%,24.0054874420166,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,60.0,1.0,
50%,26.573129653930664,37.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,5.0,1.0,2.0,2.0,3.0,3.0,67.0,2.0,
75%,29.744199752807617,42.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,4.0,4.0,75.0,2.0,
max,74.04844665527344,48.0,5.0,6.0,9.0,10.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,97.0,97.0,104.0,2.0,
null_%,33.552920509442245,36.72752368404542,31.146424314126175,31.74065410090255,31.74065410090255,31.407240102892274,31.282657990732528,31.282657990732528,31.282657990732528,99.59040269599276,87.50862663906143,87.50593781649683,87.78199026646232,87.80260457279091,87.73628028286413,87.73448773448773,30.95910300879245,63.443664685900714,30.812114041927707,0.0,
after_dropna_count,,,,,,,,,,,,,,,,,,,,,416.0
